"NVP_BID_NR","SVC_GRP_NR","RCM_NCV_QY","NCV_MIN_QY","NCV_MAX_QY","MVM_DRC_CD","SVC_TYP_CD","SVC_FEA_TYP_CD"
"I110000891","ACCRVJO",0,0,0,"N","1DA","ALL"
"I110000891","ACCRVJH",0.7,0.65,0.71,"N","1DA","SCX"
"I110000891","ACCRVJI",0.7,0.64,0.7,"N","1DP","SCX"
"I110000891","ACCRVJJ",0.7,0.65,0.71,"N","1DP","SCX"
"I110000891","ACCRVJN",0.682,0.59,0.65,"N","2DM","SPB"
"I930000891","ACCRVGJ",0.675,0.625,0.685,"N","1DP","SCX"
"I930000891","ACCRVGL",0.396,0.346,0.406,"N","GND","SPB"
"I930000891","ACCRVGT",0.396,0.346,0.406,"E","GND","ALL"
"I930000891","ACCRVHC",0.474,0.424,0.484,"I","XPD","ALL"
"I930000891","ACCRVHF",0.474,0.424,0.484,"I","XPR","ALL"
"I930000891","ACCRVHK",0.611,0.561,0.621,"E","WXS","AGC"
"I930000891","ACCRVHM",0.474,0.424,0.484,"I","WXS","ALL"
"I930000891","ACCRVHR",0.474,0.424,0.484,"I","WWS","ALL"
"I930000891","ACCRVHS",0.611,0.561,0.621,"E","XPR","ALL"
"I930000891","ACCRVHS",0.661,0.561,0.621,"E","XPR","ALL"
"I930000891","ACCRVHX",0.474,0.424,0.484,"I","WXP","ALL"
"I930000891","ACCRYZR",0,0,0,"I","XPD","ALL"
"I930000891","ACCRZKC",0,0,0,"N","1DA","ALL"
"I930000891","ACCRYYE",0,0,0,"I","WXP","ALL"
"I930000891","ACCRVJC",0,0.5,0,"N","GND","ALL"
"I930000891","ACCRYYU",0,0,1,"I","WWS","ALL"
"I930000891","ACCRYXT",0,0.5,0,"N","ALL","ALL"
"I930000891","ACCRYZK",0,0,1,"I","WFM","ALL"
"I930000891","ACCRYYC",0,0,0,"I","WXP","ALL"
"I930000891","ACCRYZO",0,0,0,"I","WFM","ALL"
"I930000891","ACCRYZP",0,0,0,"I","EXW","ALL"
"I930000891","ACCRYZA",0,0,0,"E","WFM","ALL"
"I930000891","ACCRYYZ",0,0,1,"I","XPR","ALL"
"I930000891","ACCRYYX",0,0,1,"E","EXW","ALL"
"I930000891","ACCRYZJ",0,0,1,"I","WFM","ALL"
"I930000891","ACCRVJE",0,0,0,"N","1DA","ALL"
