"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"ACCRVGT","00","I930000891","EGNDPKGALL","ALL","                    ","PKG","                    ","GND","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",9.2358,0.0009,30.3941,8.155384,0,0,0,9.409174,07-OCT-17,24-AUG-47,0.8424,0,,,,,,,,,,,"LB","T",30.9299,"E",7.41,1.092311,6.7838
"ACCRVGU","00","I930000891","N3DSPKGSCX","SCX","                    ","PKG","                    ","3DS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",38.4485,0.0626,23.26,3.701569,0,0,0,4.8112,07-OCT-17,24-AUG-47,1,0.4999,,,,,,,,,,,"LB","T",23.26,"N",7,0.60432,11.5833
"ACCRVGV","00","I930000891","EXPDPKGAGC","AGC","                    ","PKG","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.5676,0,234.9225,24.005134,0,0,0,26.883324,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",234.9225,"E",7.47,1.035669,7.2127
"ACCRVGW","00","I930000891","EXPRDOCALL","ALL","                    ","DOC","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.6556,0,123.8151,10.661339,0,0,0,12.282138,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",123.8151,"E",1.71,0.202351,8.4507
"ACCRVGX","00","I930000891","EXPRLTRALL","ALL","                    ","LTR","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",1.0463,0.0001,53.3057,9.833552,0,0,0,11.33616,07-OCT-17,24-AUG-47,0.95,0,,,,,,,,,,,"LB","T",53.5057,"E",0,0.001,0
"ACCRVGY","00","I930000891","EXPRPKGALL","ALL","                    ","PKG","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.8993,0,90.2128,18.299416,0,0,0,22.455313,07-OCT-17,24-AUG-47,0.9937,0,,,,,,,,,,,"LB","T",90.2719,"E",8.6,1.221601,7.0399
"ACCRVGZ","00","I930000891","EXPRPKGAGC","AGC","                    ","PKG","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.4488,0,297.0707,40.311399,0,0,0,44.474348,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",297.0707,"E",8.733333,1.2127,7.2016
"ACCRVHA","00","I930000891","IXPDDOCALL","ALL","                    ","DOC","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.5966,0,113.8973,16.148543,0,0,0,18.467196,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",115.4882,"I",3.095238,0.394846,7.8391
"ACCRVHB","00","I930000891","EXPDDOCALL","ALL","                    ","DOC","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.623,0,130.2758,14.983756,0,0,0,17.935323,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",130.3843,"E",2.45,0.304125,8.0559
"ACCRVHC","00","I930000891","IXPDPKGALL","ALL","                    ","PKG","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.8248,0,82.38,12.848547,0,0,0,16.163757,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",82.38,"I",2,0.22601,8.8492
